"Device UUID","Device Name","Policy Setting","Compliance Status","Policy","Policy Path"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","User Account Control: Behavior of the elevation prompt for standard users","Computer Configuration/Windows Settings/Security Settings/Local Policies/Security Options"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","User Account Control: Behavior of the elevation prompt for administrators in Admin Approval Mode","Computer Configuration/Windows Settings/Security Settings/Local Policies/Security Options"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","UPnP Device Host (upnphost)","Computer Configuration/Windows Settings/Security Settings/System Services"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Disabled","NotAvailable","Turn off Automatic Download and Install of updates","Computer Configuration/Administrative Templates/Windows Components/Store"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Turn off app notifications on the lock screen","Computer Configuration/Administrative Templates/System/Logon"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Disabled","NotAvailable","Toggle user control over Insider builds","Computer Configuration/Administrative Templates/Windows Components/Data Collection and Preview Builds"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Restore files and directories","Computer Configuration/Windows Settings/Security Settings/Local Policies/User Rights Assignment"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Reset account lockout counter after","Computer Configuration/Windows Settings/Security Settings/Account Policies/Account Lockout Policy"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Require user authentication for remote connections by using Network Level Authentication","Computer Configuration/Administrative Templates/Windows Components/Remote Desktop Services/Remote Desktop Session Host/Security"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Require use of specific security layer for remote (RDP) connections","Computer Configuration/Administrative Templates/Windows Components/Remote Desktop Services/Remote Desktop Session Host/Security"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Require secure RPC communication","Computer Configuration/Administrative Templates/Windows Components/Remote Desktop Services/Remote Desktop Session Host/Security"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Require pin for pairing","Computer Configuration/Administrative Templates/Windows Components/Connect"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Require domain users to elevate when setting a network's location","Computer Configuration/Administrative Templates/Network/Network Connections"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Require a password when a computer wakes (plugged in)","Computer Configuration/Administrative Templates/System/Power Management/Sleep Settings"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Require a password when a computer wakes (on battery)","Computer Configuration/Administrative Templates/System/Power Management/Sleep Settings"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Replace a process level token","Computer Configuration/Windows Settings/Security Settings/Local Policies/User Rights Assignment"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Remove Recycle Bin icon from desktop","User Configuration/Administrative Templates/Desktop"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Remove access to ""Pause updates"" feature","Computer Configuration/Administrative Templates/Windows Components/Windows Update"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Remote Procedure Call (RPC) Locator (RpcLocator)","Computer Configuration/Windows Settings/Security Settings/System Services"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Remote host allows delegation of non-exportable credentials","Computer Configuration/Administrative Templates/System/Credentials Delegation"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Prohibit use of Internet Connection Sharing on your DNS domain network","Computer Configuration/Administrative Templates/Network/Network Connections"
"a63370ca-5aba-463b-b7a5-8447857e234d","EUCOCTO-U3QOQD9","Enabled","NotAvailable","Restrict Unauthenticated RPC clients","Computer Configuration/Administrative Templates/System/Remote Procedure Call"
